date,eid,cid,rate
2022-04-05 17:00:00,1,LUNA,115.16
2022-04-05 17:00:00,2,LUNA,115.17
2022-04-05 17:00:00,3,LUNA,115.1717
2022-04-05 17:00:00,4,LUNA,115.2
2022-04-05 17:00:00,5,LUNA,115.12
2022-04-05 17:00:00,1,ADA,1.184
2022-04-05 17:00:00,2,ADA,1.1847
2022-04-05 17:00:00,3,ADA,1.184577
2022-04-05 17:00:00,4,ADA,1.184729
2022-04-05 17:00:00,5,ADA,1.18419
2022-04-05 17:00:00,1,DOT,22.1
2022-04-05 17:00:00,2,DOT,22.11
2022-04-05 17:00:00,3,DOT,22.0946
2022-04-05 17:00:00,4,DOT,22.0976
2022-04-05 17:00:00,5,DOT,22.102
2022-04-05 18:00:00,1,BTC,45923.47
2022-04-05 18:00:00,2,BTC,45938.71
2022-04-05 18:00:00,3,BTC,45929.28
2022-04-05 18:00:00,4,BTC,45934.8
2022-04-05 18:00:00,5,BTC,45935
2022-04-05 18:00:00,1,ETH,3450.57
2022-04-05 18:00:00,2,ETH,3450.01
2022-04-05 18:00:00,3,ETH,3450.05
2022-04-05 18:00:00,4,ETH,3451.12
2022-04-05 18:00:00,5,ETH,3450.5
2022-04-05 18:00:00,1,LTC,124.6
2022-04-05 18:00:00,2,LTC,124.64
2022-04-05 18:00:00,3,LTC,124.52
2022-04-05 18:00:00,4,LTC,124.56
2022-04-05 18:00:00,5,LTC,124.52
2022-04-05 18:00:00,1,LUNA,116.61
2022-04-05 18:00:00,2,LUNA,116.7
2022-04-05 18:00:00,3,LUNA,116.6169
2022-04-05 18:00:00,4,LUNA,116.63
2022-04-05 18:00:00,5,LUNA,116.55
2022-04-05 18:00:00,1,ADA,1.186
2022-04-05 18:00:00,2,ADA,1.1875
2022-04-05 18:00:00,3,ADA,1.186987
2022-04-05 18:00:00,4,ADA,1.186378
2022-04-05 18:00:00,5,ADA,1.18658
2022-04-05 18:00:00,1,DOT,22.24
2022-04-05 18:00:00,2,DOT,22.26
2022-04-05 18:00:00,3,DOT,22.2325
2022-04-05 18:00:00,4,DOT,22.2489
2022-04-05 18:00:00,5,DOT,22.258
2022-04-05 19:00:00,1,BTC,45821.98
2022-04-05 19:00:00,2,BTC,45796.51
2022-04-05 19:00:00,3,BTC,45822.22
2022-04-05 19:00:00,4,BTC,45821
2022-04-05 19:00:00,5,BTC,45831
2022-04-05 19:00:00,1,ETH,3441.04
2022-04-05 19:00:00,2,ETH,3441.81
2022-04-05 19:00:00,3,ETH,3440.96
2022-04-05 19:00:00,4,ETH,3440.92
2022-04-05 19:00:00,5,ETH,3441.1
2022-04-05 19:00:00,1,LTC,124.3
2022-04-05 19:00:00,2,LTC,124.41
2022-04-05 19:00:00,3,LTC,124.37
2022-04-05 19:00:00,4,LTC,124.37
2022-04-05 19:00:00,5,LTC,124.41
2022-04-05 19:00:00,1,LUNA,116.91
2022-04-05 19:00:00,2,LUNA,116.77
2022-04-05 19:00:00,3,LUNA,116.9309
2022-04-05 19:00:00,4,LUNA,116.98
2022-04-05 19:00:00,5,LUNA,116.87
2022-04-05 19:00:00,1,ADA,1.177
2022-04-05 19:00:00,2,ADA,1.1764
2022-04-05 19:00:00,3,ADA,1.178049
2022-04-05 19:00:00,4,ADA,1.178026
2022-04-05 19:00:00,5,ADA,1.177275
2022-04-05 19:00:00,1,DOT,22.09
2022-04-05 19:00:00,2,DOT,22.1
2022-04-05 19:00:00,3,DOT,22.0897
2022-04-05 19:00:00,4,DOT,22.0956
2022-04-05 19:00:00,5,DOT,22.107
2022-04-05 20:00:00,1,BTC,45228.84
2022-04-05 20:00:00,2,BTC,45252.32
2022-04-05 20:00:00,3,BTC,45224.15
2022-04-05 20:00:00,4,BTC,45260
2022-04-05 20:00:00,5,BTC,45229
2022-04-05 20:00:00,1,ETH,3343.36
2022-04-05 20:00:00,2,ETH,3350.93
2022-04-05 20:00:00,3,ETH,3342.58
2022-04-05 20:00:00,4,ETH,3347.65
2022-04-05 20:00:00,5,ETH,3341.5
2022-04-05 20:00:00,1,LTC,121.6
2022-04-05 20:00:00,2,LTC,121.72
2022-04-05 20:00:00,3,LTC,121.61
2022-04-05 20:00:00,4,LTC,121.76
2022-04-05 20:00:00,5,LTC,121.655
2022-04-05 20:00:00,1,LUNA,115.44
2022-04-05 20:00:00,2,LUNA,115.79
2022-04-05 20:00:00,3,LUNA,115.4069
2022-04-05 20:00:00,4,LUNA,115.61
2022-04-05 20:00:00,5,LUNA,115.43
2022-04-05 20:00:00,1,ADA,1.161
2022-04-05 20:00:00,2,ADA,1.1636
2022-04-05 20:00:00,3,ADA,1.161229
2022-04-05 20:00:00,4,ADA,1.161763
2022-04-05 20:00:00,5,ADA,1.16107
2022-04-05 20:00:00,1,DOT,21.63
2022-04-05 20:00:00,2,DOT,21.66
2022-04-05 20:00:00,3,DOT,21.6244
